,index,위경도 missing
167,1239,서울특별시 중구 충무로2가 12-5번지 외 1필지 3층~8층 
168,1246,서울특별시 중구 남대문로5가 716-0번지 
169,1247,서울특별시 중구 을지로6가 18-44번지 
170,1250,서울특별시 중구 순화동 34-1번지 
171,1251,서울특별시 중구 남대문로5가 14-5번지 
172,1254,서울특별시 중구 태평로2가 301-0번지 
173,1260,서울특별시 중구 회현동2가 72-8번지 
174,1262,서울특별시 중구 황학동 1591-3번지 
175,1270,서울특별시 중구 남대문로5가 12-13번지 
176,1275,서울특별시 중구 중림동 423번지 
177,1276,서울특별시 중구 명동2가 25-26 2~6층 
178,1298,서울특별시 중구 수하동 29-5번지 
179,1302,서울특별시 중구 광희동2가 33-1번지 
180,1303,서울특별시 중구 남대문로5가 760번지 
181,1306,서울특별시 중구 을지로7가 112-1번지 
182,1312,서울특별시 중구 삼각동 41번지 
183,1313,서울특별시 중구 을지로4가 245-6번지 
184,1314,서울특별시 중구 을지로7가 87-0번지 
185,1316,서울특별시 중구 장충동2가 19번지 
186,1317,서울특별시 중구 회현동1가 37-6번지 
187,1324,서울특별시 중구 황학동 2368-0번지 
188,1326,서울특별시 성동구 행당동 183-0번지 
189,1329,서울특별시 중구 회현동2가 10-13번지 
190,1332,서울특별시 중구 수표동 88-3번지 
191,1333,서울특별시 중구 회현동2가 10-33번지 
192,1335,서울특별시 중구 회현동1가 196-4번지 
193,1338,"서울특별시 중구 황학동 1651번지 2~8층,10층 "
194,1341,서울특별시 중구 회현동2가 10-13번지 
195,1343,서울특별시 중구 회현동1가 14-5번지 
196,1344,서울특별시 강서구 화곡동 904-16번지 
197,1346,서울특별시 중구 남대문로5가 684-0번지 
198,1347,서울특별시 중구 남대문로5가 219-0번지 
199,1351,서울특별시 중구 남대문로5가 737-0번지 
200,1352,서울특별시 중구 저동1가 7-3번지 
201,1354,서울특별시 중구 을지로7가 126-1번지 
202,1357,서울특별시 중구 을지로2가 28-2번지 
203,1358,서울특별시 중구 을지로7가 101-0번지 
204,1361,서울특별시 중구 광희동2가 264-0번지 
205,1362,서울특별시 중구 을지로4가 310-1번지 
206,1365,서울특별시 중구 신당동 371-436번지 
207,1366,서울특별시 중구 을지로2가 148-17번지 
208,1368,"서울특별시 중구 을지로5가 99번지 외 4필지 지상1층, 지상3~15층 "
209,1370,서울특별시 중구 회현동2가 9-9번지 
210,1375,서울특별시 중구 흥인동 70번지 1/5 
211,1376,서울특별시 중구 황학동 945번지 
212,1380,서울특별시 중구 다동 162-1번지 
213,1381,서울특별시 중구 남대문로5가 218-0번지 
214,1382,서울특별시 중구 을지로6가 21-32번지 
215,1392,서울특별시 중구 중림동 130-0번지 
216,1394,서울특별시 중구 초동 49-8번지 
217,1397,서울특별시 중구 을지로5가 102-1번지 
218,1402,서울특별시 중구 회현동1가 37-10번지 
219,1409,서울특별시 중구 중림동 156-0번지 
220,1417,서울특별시 용산구 한강로2가 337-0번지 
221,1449,서울특별시 용산구 갈월동 69-27 호텔 더 디자이너스 지상 1층~20층 호텔 
222,1481,서울특별시 마포구 공덕동 429-9번지 
223,1508,서울특별시 용산구 용산동2가 5-1400번지 
224,1513,서울특별시 용산구 한강로2가 388-0번지 
225,1515,서울특별시 용산구 한강로2가 385-0번지 
226,1521,서울특별시 용산구 한강로2가 394-2번지 
227,1522,서울특별시 용산구 한강로2가 371번지 
228,1523,서울특별시 용산구 남영동 산 96-2번지 
229,1524,서울특별시 용산구 이태원동 산 455-8번지 
230,1526,서울특별시 용산구 한강로2가 392-3번지 
231,1530,서울특별시 용산구 한강로2가 122-4번지 
232,1531,서울특별시 용산구 한강로2가 324-5번지 
233,1539,서울특별시 용산구 원효로1가 130-11번지 
234,1540,서울특별시 용산구 한강로2가 346-1번지 
235,1541,서울특별시 용산구 한강로2가 346-0번지 
236,1542,서울특별시 용산구 한강로2가 334-0번지 
237,1543,서울특별시 용산구 한강로2가 338-0번지 
238,1546,서울특별시 용산구 원효로2가 91-15번지 
239,1550,서울특별시 용산구 문배동 10-7번지 
240,1553,서울특별시 용산구 한강로2가 386번지 
241,1554,서울특별시 용산구 한강로2가 374-0번지 
242,1556,서울특별시 용산구 한강로2가 383-0번지 
243,1557,서울특별시 용산구 한강로2가 384-0번지 
244,1558,서울특별시 용산구 한강로2가 379-0번지 
245,1559,서울특별시 용산구 한강로2가 92-2번지 
246,1575,서울특별시 용산구 후암동 441-3번지 
247,1576,서울특별시 용산구 한강로2가 393-0번지 
248,1579,서울특별시 용산구 한강로2가 393-3번지 
249,1580,서울특별시 용산구 한강로3가 63-45번지 
250,1582,서울특별시 용산구 한강로2가 340-2번지 
251,1583,서울특별시 용산구 한강로2가 368-3번지 
252,1585,서울특별시 용산구 한강로2가 366-1번지 
253,1587,서울특별시 용산구 한강로2가 344-0번지 
254,1589,서울특별시 용산구 한강로3가 63-259번지 
255,1592,서울특별시 용산구 한강로3가 63-228번지 
256,1594,서울특별시 용산구 한강로2가 370번지 
257,1595,서울특별시 용산구 한강로2가 400-5번지 
258,1596,서울특별시 용산구 한강로2가 334-2번지 
259,1597,서울특별시 용산구 한강로2가 402번지 
260,1602,서울특별시 용산구 한강로2가 395-2번지 
261,1603,서울특별시 용산구 한강로2가 396-3번지 
262,1606,서울특별시 용산구 한강로2가 394-4번지 
263,1607,서울특별시 용산구 한강로2가 394-0번지 
264,1608,서울특별시 용산구 한강로2가 392-3번지 
265,1609,서울특별시 용산구 한강로2가 337-0번지 
266,1610,서울특별시 용산구 한강로2가 375-0번지 
267,1611,서울특별시 용산구 한강로2가 392-4번지 
268,1619,서울특별시 용산구 한강로2가 378-0번지 
269,1620,서울특별시 용산구 한강로2가 376-0번지 
270,1621,서울특별시 용산구 한강로2가 372-0번지 
271,1622,서울특별시 용산구 한강로2가 369-0번지 
272,1625,서울특별시 용산구 문배동 23-0번지 
273,1626,서울특별시 용산구 문배동 15-14번지 
274,1633,서울특별시 용산구 한강로2가 365-0번지 
275,1635,서울특별시 용산구 한강로2가 397-0번지 
276,1636,서울특별시 용산구 한강로2가 398-0번지 
277,1637,서울특별시 용산구 한강로2가 324-1번지 
278,1638,서울특별시 용산구 산천동 161-1번지 
279,1646,서울특별시 용산구 한강로2가 402-1번지 
280,1651,서울특별시 용산구 한강로2가 376-0번지 
281,1652,서울특별시 용산구 한강로2가 339-0번지 
282,1653,서울특별시 용산구 한강로2가 366-2번지 
283,1654,서울특별시 용산구 한강로2가 401-0번지 
284,1655,서울특별시 용산구 한강로2가 400-4번지 
285,1656,서울특별시 용산구 한강로2가 332-4번지 
286,1657,서울특별시 용산구 한강로2가 339-0번지 
287,1658,서울특별시 용산구 한강로2가 319-2번지 
288,1659,서울특별시 용산구 한강로2가 337-10번지 
289,1660,서울특별시 용산구 한강로2가 367-0번지 
290,1661,서울특별시 용산구 한강로2가 367-0번지 
291,1662,서울특별시 용산구 한강로2가 382-0번지 
292,1664,서울특별시 용산구 한강로2가 324-2번지 
293,1665,서울특별시 용산구 한강로2가 337-0번지 
294,1666,서울특별시 용산구 한강로2가 373-0번지 
295,1668,서울특별시 용산구 한강로3가 63-199번지 
296,1669,서울특별시 용산구 한강로3가 63-197번지 
297,1671,서울특별시 용산구 한강로2가 403-2번지 
298,1672,서울특별시 용산구 한강로2가 324-7번지 
299,1674,서울특별시 용산구 서계동 220-19번지 
300,1678,서울특별시 용산구 용산동5가 19-121번지 
301,1680,서울특별시 용산구 한강로1가 60-1번지 
302,1684,서울특별시 용산구 한강로2가 324-2번지 
303,1685,서울특별시 용산구 한강로2가 334-3번지 
304,1686,서울특별시 용산구 한강로2가 377-0번지 
305,1687,서울특별시 용산구 한강로2가 395-3번지 
306,1688,서울특별시 용산구 한강로2가 372번지 
307,1689,서울특별시 용산구 한강로2가 333-1번지 
308,1692,"서울특별시 용산구 한강로2가 122-6,7 "
309,1697,서울특별시 용산구 용문동 32-138번지 
310,1699,서울특별시 용산구 한강로2가 350-0번지 
311,1700,서울특별시 용산구 한강로2가 324-5번지 
312,1701,서울특별시 용산구 문배동 15-14번지 
313,1703,서울특별시 용산구 한강로2가 391-0번지 
314,1709,서울특별시 용산구 한강로3가 63-259번지 
315,1710,서울특별시 용산구 용산동2가 1-1517번지 
316,1714,서울특별시 용산구 한강로2가 368-0번지 
317,1715,서울특별시 용산구 한강로2가 380-0번지 
318,1716,서울특별시 용산구 한강로2가 395-1번지 
319,1717,서울특별시 용산구 한강로2가 380번지 
320,1718,서울특별시 용산구 한강로2가 319-2번지 
321,1719,서울특별시 용산구 한강로2가 405-2번지 
322,1720,서울특별시 용산구 한강로2가 392-1번지 
323,1722,서울특별시 용산구 한강로2가 200-2번지 
324,1724,서울특별시 용산구 한강로2가 400-5번지 
325,1725,서울특별시 용산구 한강로2가 372번지 
326,1726,서울특별시 용산구 한강로2가 402번지 
327,1728,서울특별시 용산구 한강로2가 401-3번지 
328,1729,서울특별시 용산구 한강로2가 391번지 
329,1731,서울특별시 용산구 한강로2가 200-2번지 
330,1733,서울특별시 용산구 동자동 42-19번지 
331,1737,서울특별시 용산구 한강로2가 370번지 
332,1738,서울특별시 용산구 한강로2가 402-1번지 
333,1739,서울특별시 용산구 한강로2가 340-1번지 
334,1742,서울특별시 용산구 한강로2가 402-1번지 
335,1743,서울특별시 용산구 한강로2가 384번지 
336,1744,서울특별시 용산구 한강로2가 376번지 
337,1746,서울특별시 용산구 한강로2가 401-2번지 
338,1747,서울특별시 용산구 한강로2가 396-1번지 
339,1748,서울특별시 용산구 한강로2가 405-0번지 
340,1749,서울특별시 용산구 한강로2가 406-4번지 
341,1750,서울특별시 용산구 한강로2가 393-2번지 
342,1751,서울특별시 용산구 한강로2가 392-0번지 
343,1752,서울특별시 용산구 한강로2가 392번지 
344,1753,서울특별시 용산구 한강로2가 394-2번지 
345,1754,서울특별시 용산구 한강로2가 394-0번지 
346,1756,서울특별시 용산구 한강로2가 389-0번지 
347,1764,"서울특별시 성동구 도선동 138-0 142,143 "
348,1795,서울특별시 성동구 하왕십리동 966-68번지 6~10층 
349,1800,서울특별시 성동구 금호동4가 856-4번지 
350,1805,서울특별시 성동구 행당동 317-0번지 
351,1809,서울특별시 성동구 성수동1가 561-2번지 
352,1813,서울특별시 성동구 행당동 322-300번지 
353,1819,서울특별시 성동구 금호동2가 215-0번지 
354,1820,서울특별시 성동구 금호동2가 600-0번지 
355,1821,서울특별시 성동구 금호동2가 1138-0번지 
356,1822,서울특별시 성동구 금호동2가 1162-2번지 
357,1826,서울특별시 성동구 행당동 322-15번지 
358,1827,서울특별시 성동구 금호동4가 1078-6번지 
359,1844,서울특별시 성동구 금호동2가 939-0번지 
360,1857,서울특별시 성동구 금호동4가 64-1번지 
361,1858,서울특별시 성동구 금호동4가 955-1번지 
362,1865,서울특별시 성동구 금호동1가 1781번지 
363,1873,서울특별시 성동구 상왕십리동 269-1번지 
364,1877,서울특별시 성동구 홍익동 490-0번지 
365,1880,서울특별시 성동구 상왕십리동 263-8번지 
366,1886,서울특별시 성동구 금호동4가 955-1번지 
367,1890,서울특별시 동작구 상도동 348-48번지 
368,1904,서울특별시 성동구 금호동1가 580-0번지 
369,1905,서울특별시 성동구 송정동 1-42번지 
370,1911,서울특별시 성동구 송정동 1-42번지 
371,1917,서울특별시 성동구 상왕십리동 762-4번지 
372,1920,서울특별시 성동구 행당동 298-75번지 
373,1921,서울특별시 성동구 송정동 1-42번지 
374,1930,서울특별시 성동구 옥수동 276-1번지 
375,1931,서울특별시 성동구 옥수동 21-1번지 
376,1936,서울특별시 성동구 상왕십리동 54-2번지 
377,1937,서울특별시 성동구 하왕십리동 147-0번지 
378,1942,서울특별시 성동구 금호동1가 1781-0번지 
379,1943,서울특별시 성동구 금호동4가 64-1번지 
380,1950,서울특별시 성동구 금호동1가 1803번지 1804-1 
381,1952,서울특별시 성동구 상왕십리동 340-1번지 
382,1953,서울특별시 성동구 금호동2가 939번지 
383,1971,서울특별시 성동구 성수동2가 333-24번지 
384,1979,서울특별시 성동구 하왕십리동 970-60번지 
385,1982,서울특별시 성동구 상왕십리동 752-0번지 
386,1986,서울특별시 성동구 행당동 68번지 
387,1989,서울특별시 성동구 성수동2가 594-0번지 
388,2001,서울특별시 성동구 금호동2가 872-1번지 
389,2005,서울특별시 성동구 홍익동 131-0번지 
390,2014,서울특별시 성동구 상왕십리동 340-1번지 
391,2015,서울특별시 성동구 성수동1가 656-6011번지 
392,2016,서울특별시 성동구 상왕십리동 762-4번지 
393,2024,서울특별시 성동구 상왕십리동 340-0번지 
394,2025,서울특별시 성동구 상왕십리동 269-1번지 
395,2026,서울특별시 성동구 상왕십리동 297-3번지 
396,2027,서울특별시 성동구 도선동 4-0번지 
397,2028,서울특별시 성동구 도선동 58-0번지 
398,2029,서울특별시 성동구 도선동 12-1번지 
399,2032,서울특별시 성동구 행당동 158-57번지 
400,2037,서울특별시 성동구 성수동1가 561-2번지 
401,2042,서울특별시 성동구 행당동 259-2번지 
402,2043,서울특별시 광진구 군자동 361-10번지 
403,2063,서울특별시 광진구 군자동 477-13번지 
404,2069,서울특별시 광진구 화양동 23-16번지 
405,2078,서울특별시 광진구 군자동 477-15번지 
406,2086,서울특별시 광진구 구의동 66-56번지 
407,2089,"서울특별시 광진구 구의동 59-4번지 ,5 "
408,2096,"서울특별시 광진구 군자동 473-21번지 ,22 "
409,2103,서울특별시 광진구 자양동 779-10번지 
410,2104,서울특별시 광진구 화양동 23-19번지 
411,2114,서울특별시 광진구 화양동 23-16번지 
412,2124,서울특별시 광진구 구의동 123-10번지 
413,2126,서울특별시 광진구 중곡동 146-14번지 
414,2143,서울특별시 광진구 화양동 110-3번지 
415,2144,서울특별시 광진구 화양동 23-18번지 
416,2146,서울특별시 광진구 자양동 74-1번지 
417,2164,서울특별시 동작구 신대방동 685-3 외2필지
418,2169,"서울특별시 광진구 자양동 657-16 ,27 "
419,2172,"서울특별시 광진구 군자동 464-7번지 ,8 "
420,2176,"서울특별시 광진구 화양동 23-21 ,22 "
421,2207,"서울특별시 광진구 능동 276-1 220-1, 220-3 "
422,2209,"서울특별시 광진구 군자동 350-1 350-2, 350-3 "
423,2247,서울특별시 동대문구 휘경동 319-12번지 지하2~지상10층 
424,2310,"서울특별시 동대문구 장안동 365-6,7"
425,2323,서울특별시 동대문구 용두동 253-210번지 (동진길35) 
426,2325,서울특별시 동대문구 용두동 73-1번지 (용일안1길3) 
427,2328,서울특별시 동대문구 회기동 73-11번지 (이문로17-3) 
428,2329,서울특별시 성북구 하월곡동 29-78번지 
429,2331,서울특별시 동대문구 용두동 73-62번지 (용일안길7-7) 
430,2369,서울특별시 동대문구 용두동 65-2번지 (용일안2길8-5) 
431,2374,서울특별시 동대문구 전농동 314-11번지 (사가정길67-2) 
432,2376,서울특별시 동대문구 전농동 620-38번지 2~5 
433,2377,서울특별시 동대문구 용두동 712-2번지 
434,2379,서울특별시 동대문구 휘경동 140-17번지 
435,2381,서울특별시 동대문구 용두동 712-55번지 
436,2382,서울특별시 동대문구 전농동 505-31번지 (활터10길24) 
437,2388,서울특별시 동대문구 답십리동 231-4번지 (전농새싹1길36) 
438,2389,서울특별시 동대문구 용두동 65-26번지 (용일안길31) 
439,2392,서울특별시 동대문구 전농동 504-63번지 (활터7길11-1) 
440,2398,서울특별시 동대문구 용두동 66-12번지 (용일안1길8-1) 
441,2399,서울특별시 동대문구 용두동 65-21번지 
442,2405,서울특별시 성북구 보문동4가 1-56번지 
443,2410,서울특별시 동대문구 용두동 73-1번지 (용일안1길3) 
444,2412,서울특별시 동대문구 용두동 73-6번지 (하정로121-8) 
445,2414,서울특별시 동대문구 용두동 66-3번지 (용일안길15-1) 
