,index,위경도 missing
281,1606,서울특별시 용산구 한강로2가 394-4번지 
282,1607,서울특별시 용산구 한강로2가 394-0번지 
283,1608,서울특별시 용산구 한강로2가 392-3번지 
284,1609,서울특별시 용산구 한강로2가 337-0번지 
285,1610,서울특별시 용산구 한강로2가 375-0번지 
286,1611,서울특별시 용산구 한강로2가 392-4번지 
287,1619,서울특별시 용산구 한강로2가 378-0번지 
288,1620,서울특별시 용산구 한강로2가 376-0번지 
289,1621,서울특별시 용산구 한강로2가 372-0번지 
290,1622,서울특별시 용산구 한강로2가 369-0번지 
291,1625,서울특별시 용산구 문배동 23-0번지 
292,1626,서울특별시 용산구 문배동 15-14번지 
293,1633,서울특별시 용산구 한강로2가 365-0번지 
294,1635,서울특별시 용산구 한강로2가 397-0번지 
295,1636,서울특별시 용산구 한강로2가 398-0번지 
296,1637,서울특별시 용산구 한강로2가 324-1번지 
297,1638,서울특별시 용산구 산천동 161-1번지 
298,1646,서울특별시 용산구 한강로2가 402-1번지 
299,1651,서울특별시 용산구 한강로2가 376-0번지 
300,1652,서울특별시 용산구 한강로2가 339-0번지 
301,1653,서울특별시 용산구 한강로2가 366-2번지 
302,1654,서울특별시 용산구 한강로2가 401-0번지 
303,1655,서울특별시 용산구 한강로2가 400-4번지 
304,1656,서울특별시 용산구 한강로2가 332-4번지 
305,1657,서울특별시 용산구 한강로2가 339-0번지 
306,1658,서울특별시 용산구 한강로2가 319-2번지 
307,1659,서울특별시 용산구 한강로2가 337-10번지 
308,1660,서울특별시 용산구 한강로2가 367-0번지 
309,1661,서울특별시 용산구 한강로2가 367-0번지 
310,1662,서울특별시 용산구 한강로2가 382-0번지 
311,1664,서울특별시 용산구 한강로2가 324-2번지 
312,1665,서울특별시 용산구 한강로2가 337-0번지 
313,1666,서울특별시 용산구 한강로2가 373-0번지 
314,1668,서울특별시 용산구 한강로3가 63-199번지 
315,1669,서울특별시 용산구 한강로3가 63-197번지 
316,1671,서울특별시 용산구 한강로2가 403-2번지 
317,1672,서울특별시 용산구 한강로2가 324-7번지 
318,1674,서울특별시 용산구 서계동 220-19번지 
319,1678,서울특별시 용산구 용산동5가 19-121번지 
320,1680,서울특별시 용산구 한강로1가 60-1번지 
321,1684,서울특별시 용산구 한강로2가 324-2번지 
322,1685,서울특별시 용산구 한강로2가 334-3번지 
323,1686,서울특별시 용산구 한강로2가 377-0번지 
324,1687,서울특별시 용산구 한강로2가 395-3번지 
325,1688,서울특별시 용산구 한강로2가 372번지 
326,1689,서울특별시 용산구 한강로2가 333-1번지 
327,1694,서울특별시 용산구 청파동3가 24-16번지 
328,1697,서울특별시 용산구 용문동 32-138번지 
329,1699,서울특별시 용산구 한강로2가 350-0번지 
330,1700,서울특별시 용산구 한강로2가 324-5번지 
331,1701,서울특별시 용산구 문배동 15-14번지 
332,1703,서울특별시 용산구 한강로2가 391-0번지 
333,1709,서울특별시 용산구 한강로3가 63-259번지 
334,1710,서울특별시 용산구 용산동2가 1-1517번지 
335,1714,서울특별시 용산구 한강로2가 368-0번지 
336,1715,서울특별시 용산구 한강로2가 380-0번지 
337,1716,서울특별시 용산구 한강로2가 395-1번지 
338,1717,서울특별시 용산구 한강로2가 380번지 
339,1718,서울특별시 용산구 한강로2가 319-2번지 
340,1719,서울특별시 용산구 한강로2가 405-2번지 
341,1720,서울특별시 용산구 한강로2가 392-1번지 
342,1722,서울특별시 용산구 한강로2가 200-2번지 
343,1724,서울특별시 용산구 한강로2가 400-5번지 
344,1725,서울특별시 용산구 한강로2가 372번지 
345,1726,서울특별시 용산구 한강로2가 402번지 
346,1728,서울특별시 용산구 한강로2가 401-3번지 
347,1729,서울특별시 용산구 한강로2가 391번지 
348,1731,서울특별시 용산구 한강로2가 200-2번지 
349,1733,서울특별시 용산구 동자동 42-19번지 
350,1737,서울특별시 용산구 한강로2가 370번지 
351,1738,서울특별시 용산구 한강로2가 402-1번지 
352,1739,서울특별시 용산구 한강로2가 340-1번지 
353,1742,서울특별시 용산구 한강로2가 402-1번지 
354,1743,서울특별시 용산구 한강로2가 384번지 
355,1744,서울특별시 용산구 한강로2가 376번지 
356,1746,서울특별시 용산구 한강로2가 401-2번지 
357,1747,서울특별시 용산구 한강로2가 396-1번지 
358,1748,서울특별시 용산구 한강로2가 405-0번지 
359,1749,서울특별시 용산구 한강로2가 406-4번지 
360,1750,서울특별시 용산구 한강로2가 393-2번지 
361,1751,서울특별시 용산구 한강로2가 392-0번지 
362,1752,서울특별시 용산구 한강로2가 392번지 
363,1753,서울특별시 용산구 한강로2가 394-2번지 
364,1754,서울특별시 용산구 한강로2가 394-0번지 
365,1756,서울특별시 용산구 한강로2가 389-0번지 
366,1759,서울특별시 성동구 용답동 107-9번지 
367,1761,서울특별시 성동구 도선동 116-0번지 
368,1787,서울특별시 성동구 성수동1가 671-186번지 
369,1795,서울특별시 성동구 하왕십리동 966-68번지 6~10층 
370,1800,서울특별시 성동구 금호동4가 856-4번지 
