,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자,업태구분명,한실수,양실수,욕실수
55,코트야드 메리어트 서울 보타닉파크,서울특별시 강서구 마곡동 766-1 메리어트호텔,"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 (마곡동)",37.5669742928759,126.829428553472,20180503,,1,,,,,2021-11-01 23:04:00.0,관광호텔,,,
56,라이프 인 을지로,서울특별시 중구 을지로3가 291-45 2층,"서울특별시 중구 충무로 54-3, 2층 (을지로3가)",37.5660351259604,126.993083336867,20151201,,1,,,,,2021-11-01 22:05:00.0,여관업,,,
57,만남모텔,서울특별시 종로구 숭인동 1127번지 ,서울특별시 종로구 보문로1길 7-20 (숭인동),37.5761375234119,127.022301318789,19670822,,1,,,,,2019-11-17 02:40:00.0,여관업,10.0,0.0,10.0
58,호스텔 케이팝,서울특별시 중구 인현동1가 94-1,"서울특별시 중구 마른내로 53, 3~7층 (인현동1가)",,,2023-02-03,,1,,,,,2022-12-03 00:09:00.0,일반호텔,,,
59,오월호텔(OWALL HOTEL),서울특별시 강남구 역삼동 723-3,"서울특별시 강남구 언주로85길 27, 지상3~지상9층 (역삼동)",37.5005805580112,127.041063158531,2018-03-02,,1,,,,,2022-12-02 22:05:00.0,관광호텔,,,
60,사월호텔,서울특별시 강남구 역삼동 720-12,서울특별시 강남구 언주로89길 13 (역삼동),37.5016923957401,127.041843537901,2010-06-17,,1,,,,,2022-12-02 22:05:00.0,일반호텔,,,
61,호텔마리,서울특별시 강남구 역삼동 720-14,서울특별시 강남구 언주로87길 10 (역삼동),37.5016478895041,127.042087452721,2002-07-24,,1,,,,,2022-12-02 22:05:00.0,여관업,,,
62,부킹용산닷컴1(Booking Yongsan.com1),서울특별시 용산구 남영동 37-1,서울특별시 용산구 한강대로84길 11-10 (남영동),37.5439760185241,126.973488224669,1964-05-12,,1,,,,,2022-12-02 22:05:00.0,여관업,,,
63,맥스,서울특별시 도봉구 창동 9-2 정일프라자 상가 6층,"서울특별시 도봉구 노해로 381, 정일프라자 상가동 6층 (창동)",37.6525380775264,127.050465602278,1997-09-25,,1,,,,,2022-12-03 22:03:00.0,여관업,,,
64,호텔 Story,서울특별시 강동구 천호동 328-10,서울특별시 강동구 선사로 78 (천호동),,,20020225,,3,20220622,,,,2021-12-05 22:05:00.0,여관업,,,
65,호텔 골든파크 명동,서울특별시 중구 충무로4가 148-1,"서울특별시 중구 퇴계로37길 14, 10층 (충무로4가)",37.5619342012504,126.99400151833,2023-03-23,,1,,,,,2022-12-02 22:05:00.0,일반호텔,,,
66,하운드호텔,서울특별시 관악구 봉천동 866-1,서울특별시 관악구 관악로15길 17 (봉천동),37.4801321524583,126.951247200936,2023-02-08,,1,,,,,2022-12-01 23:00:00.0,일반호텔,,,
67,유에이치스위트 더명동3,서울특별시 중구 충무로2가 12-8,"서울특별시 중구 명동8가길 51, 2,3,4층 (충무로2가)",,,2023-04-06,,1,,,,,2022-12-03 22:07:00.0,숙박업(생활),,,
68,호텔 아카데미하우스,서울특별시 강북구 수유동 산 76 아카데미하우스,"서울특별시 강북구 4.19로 135, 아카데미하우스 (수유동)",37.6416929978165,127.001722448429,19661229,,1,,,,,2021-12-05 22:05:00.0,관광호텔,,,
69,호텔아르누보서초,서울특별시 서초구 서초동 1680-1 ~4호 2층~19층,"서울특별시 서초구 서초대로 357, 2층~19층 (서초동)",37.4961685551687,127.020483215725,20150721,,3,20221006,,,,2021-10-31 00:08:00.0,숙박업(생활),,,
70,남대문호텔 앤 스위트,"서울특별시 중구 순화동 151 (지상 1층, 지상 5층~지상 25층)","서울특별시 중구 칠패로 27 (순화동,(지상 1층, 지상 5층~지상 25층))",37.5602669008102,126.972035325682,20100930,,3,20220330,,,,2021-12-03 23:03:00.0,일반호텔,,,
71,아이 호텔,서울특별시 영등포구 영등포동1가 121-1,서울특별시 영등포구 경인로108길 10 (영등포동1가),37.5171330042127,126.911469393708,20050819,,3,20220330,,,,2021-12-04 00:02:00.0,일반호텔,,,
72,필름37.2호텔,서울특별시 노원구 상계동 702-3,서울특별시 노원구 상계로 26 (상계동),37.654887986411,127.057987039989,20050216,,1,,,,,2021-12-03 23:03:00.0,여관업,,,
73,밀호텔,서울특별시 동대문구 답십리동 542-6,서울특별시 동대문구 황물로 56 (답십리동),37.5724190890516,127.047419527584,20030310,,3,20220401,,,,2021-12-04 00:03:00.0,여관업,,,
74,카카오모텔,서울특별시 송파구 방이동 47-2,서울특별시 송파구 오금로11길 47-16 (방이동),37.5161521248405,127.112984569339,20030227,,3,20220415,,,,2021-12-03 23:07:00.0,여관업,,,
75,멜리샤 호텔,서울특별시 강남구 역삼동 825-29,서울특별시 강남구 테헤란로2길 15 (역삼동),37.4972382423088,127.029389778968,20021001,,1,,,,,2021-12-04 00:02:00.0,여관업,,,
76,글로벌인 동대문 시티데이즈 인,서울특별시 종로구 창신동 460-1번지 ,"서울특별시 종로구 종로48길 12, 1,2층 (창신동)",,,20150320,,1,,,,,2020-06-17 02:40:00.0,일반호텔,0.0,29.0,0.0
77,별궁여관,서울특별시 종로구 숭인동 178-49번지 ,서울특별시 종로구 종로65가길 17 (숭인동),37.5749461306812,127.019274711459,19710710,,1,,,,,2018-08-31 23:59:59.0,여인숙업,12.0,0.0,1.0
78,스테이 인 블루,서울특별시 중구 충무로4가 148-1,"서울특별시 중구 퇴계로37길 14, 8층 (충무로4가)",37.5619342012504,126.99400151833,2023-03-23,,1,,,,,2022-12-02 22:05:00.0,일반호텔,,,
79,호텔 아이보리,서울특별시 중구 충무로4가 148-1,"서울특별시 중구 퇴계로37길 14, 9층 (충무로4가)",37.5619342012504,126.99400151833,2023-03-23,,1,,,,,2022-12-02 22:05:00.0,일반호텔,,,
80,웰빙,서울특별시 송파구 석촌동 295-8,서울특별시 송파구 가락로 119 (석촌동),37.5018195790828,127.109151531868,2003-02-27,,3,2023-03-29,,,,2022-12-02 21:01:00.0,여관업,,,
81,해피 모텔,서울특별시 송파구 삼전동 38-5,서울특별시 송파구 삼전로2길 11 (삼전동),37.5013402409902,127.086157841705,2003-02-27,,3,2023-03-30,,,,2022-12-04 00:01:00.0,여관업,,,
82,아트앤 스테이 종암,서울특별시 성북구 종암동 3-1235,서울특별시 성북구 종암로22길 7 (종암동),37.5998607479008,127.034636108825,1973-11-07,,1,,,,,2022-12-04 00:01:00.0,여관업,,,
83,서초인투라온호텔앤레지던스,서울특별시 서초구 서초동 1595-1 지젤시그니티 서초,"서울특별시 서초구 효령로53길 50, 지젤시그니티 서초 (서초동)",37.4870648484546,127.013771375182,2022-11-28,,1,,,,,2022-12-04 00:07:00.0,숙박업(생활),,,
