,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
308,K City Hotel,관광호텔업,숙박시설,서울특별시 동대문구 전농동 620-4번지 ,서울특별시 동대문구 왕산로 192-2 (전농동),37.5795811067678,127.044612389096,60.0,3575.03,3575.0,20140227,,3,20190513,,,,2019-05-15 02:40:00.0
309,라마다앙코르 동대문지점,관광호텔업,숙박시설,서울특별시 동대문구 신설동 98-24번지 ,서울특별시 동대문구 왕산로 22 (신설동),37.5761833319803,127.0260733141,332.0,11588.89,11589.0,20140711,,3,20160201,,,,2018-08-31 23:59:59.0
310,(주)경남관광호텔,관광호텔업,,서울특별시 동대문구 장안동 366-7 ,서울특별시 동대문구 장한로 110 (장안동),37.5702487677134,127.070968071557,80.0,12865.06,12865.0,19821110,,3,20201224,,,,2020-12-30 02:40:00.0
311,부림관광호텔,관광호텔업,호텔,서울특별시 동대문구 전농동 620-27번지 ,서울특별시 동대문구 답십리로1길 39-5 (전농동),37.5794673820108,127.044901005969,54.0,3144.88,3145.0,19840215,,3,20160304,,,,2018-08-31 23:59:59.0
312,알프스관광호텔,,,서울특별시 동대문구 장안동 365-8번지 ,서울특별시 동대문구 장한로 96  (장안동),37.5690696539206,127.070031404859,,,,19990726,,3,20040204,,,,2018-08-31 23:59:59.0
313,동경호텔,관광호텔업,숙박시설,서울특별시 동대문구 장안동 373-4번지 ,서울특별시 동대문구 한천로24길 77 (장안동),37.5691066785101,127.068970811731,60.0,3249.75,3250.0,20141030,,3,20190222,,,,2019-02-27 02:40:00.0
314,동서울 관광호텔,,,서울특별시 광진구 구의동 595,서울특별시 광진구 구의강변로 38 (구의동),37.5341667646454,127.091887383689,,,,19910413,,1,,,,,2021-11-01 22:05:00.0
315,SK 네트웍스 (주) 워커힐,,,서울특별시 광진구 광장동 산 21-0,서울특별시 광진구 워커힐로 177 (광장동),,,,,,19950305,,1,,,,,2021-12-08 00:07:00.0
316,휴호스텔,,,서울특별시 광진구 구의동 246-8 4층~5층,"서울특별시 광진구 자양로18길 26, 4층 (구의동)",37.5376725045511,127.085104029472,,,,20180228,,1,,,,,2021-12-07 22:00:00.0
317,호텔케이월드,,,서울특별시 광진구 자양동 24-6 호텔케이월드,"서울특별시 광진구 동일로 90, 호텔케이월드 (자양동)",37.5405596707798,127.06347411731,,,,20180621,,1,,,,,2021-12-06 23:02:00.0
318,드씨엘관광호텔,관광호텔업,,서울특별시 중랑구 묵동 181-64 ,서울특별시 중랑구 동일로 866 (묵동),37.6077824519374,127.07869549348,60.0,3213.91,3214.0,20160219,,1,,,,,2021-01-08 02:40:00.0
319,라코지스테이서울,가족호텔업,,서울특별시 중랑구 상봉동 128-40 ,서울특별시 중랑구 망우로 232 (상봉동),37.5942880364973,127.078441568439,68.0,4129.86,4130.0,20190813,,1,,,,,2021-01-14 02:40:00.0
320,디 에블린,,,서울특별시 동대문구 장안동 465-4,서울특별시 동대문구 장한로2길 48 (장안동),37.5617104432638,127.067497596495,,,,20170512,,3,20220831,,,,2021-12-09 00:02:00.0
321,리비에르,관광호텔업,,서울특별시 성북구 동선동1가 91 리비에르 호텔 ,"서울특별시 성북구 동소문로20나길 33 (동선동1가, 리비에르 호텔)",37.5925881873927,127.018285331339,69.0,3158.0,3158.0,20140905,,3,20211015,,,,2021-10-17 02:40:00.0
322,홀리데이 인 서울 성북,,호텔,서울특별시 성북구 종암동 3-1343번지 ,서울특별시 성북구 종암로 123 (종암동),37.6009931754056,127.033164257285,128.0,10065.75,10066.0,19900407,,3,20180209,,,,2018-08-31 23:59:59.0
323,아리랑힐 호텔 동대문,관광호텔업,호텔,서울특별시 성북구 동선동4가 26 ,"서울특별시 성북구 아리랑로 8 (동선동4가, 베스트웨스턴성북관광호텔)",37.593585838876,127.016568539209,190.0,9785.0,9785.0,20150907,,1,,,,,2020-08-14 02:40:00.0
324,티제이 관광호텔,관광호텔업,,서울특별시 강서구 외발산동 215 ,서울특별시 강서구 남부순환로 196 (외발산동),37.5479453152332,126.82006240037,36.0,2927.55,2928.0,20030903,,1,,,,,2021-08-08 02:40:00.0
325,와이호텔,소형호텔업,숙박시설,서울특별시 은평구 응암동 596-1번지 ,서울특별시 은평구 응암로9길 6-11 (응암동),37.5878572776833,126.915904174722,,393.98,394.0,20180928,,1,,,,,2018-11-08 02:36:17.0
326,위고인,,,서울특별시 서대문구 대현동 104-48 위고인 호스텔 6~8층,"서울특별시 서대문구 신촌로 141, 위고인호스텔 (대현동)",37.557021911103,126.941600754782,,,,20200309,,1,,,,,2021-12-06 22:00:00.0
327,호텔 디 아티스트 성신여대점,,숙박시설,서울특별시 성북구 동선동1가 120-12번지 호텔 디 아티스트 동선점 ,서울특별시 성북구 동소문로 126 (동선동1가),37.5939080663071,127.018757829959,48.0,2107.3,2107.0,20171116,,1,,,,,2018-08-31 23:59:59.0
328,루체르니 관광호텔,,,서울특별시 강북구 우이동 산 14-3번지 ,,37.6469913882671,127.005518413324,,,,20020927,,3,20090807,,,,2018-08-31 23:59:59.0
329,베니키아 리치다이아몬드호텔,관광호텔업,,서울특별시 강북구 수유동 274-1 ,서울특별시 강북구 삼양로 500-18 (수유동),37.6475106264232,127.015579731076,,,,20131029,,1,,,,,2022-03-23 02:40:00.0
