,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
735,2.8,75102,16,235,3,0.13,0.77,0.41,87,1,0.02,0.62,0.5,0.5,12852.02,11859.85,24711.87,14,6,0.18,0.67,0.26,0.55
736,4.7,60000,14,3061,3,0.13,0.84,0.44,83,1,0.12,0.62,0.46,0.46,12680.33,11306.88,23987.2,13,6,0.3,0.69,0.28,0.6
737,3.7,45000,17,33,5,0.17,0.99,0.68,81,2,0.06,0.59,0.38,0.66,12104.21,11454.99,23559.19,2,5,0.7,0.77,0.23,0.62
738,3.0,44000,20,16,12,0.29,0.97,0.72,109,1,0.01,0.73,0.78,0.78,33905.85,34276.54,68182.39,8,4,0.13,0.55,0.65,0.82
739,2.7,45000,30,31,11,0.03,1.0,0.44,89,1,0.08,0.65,0.19,0.19,8744.89,8513.16,17258.05,2,3,0.21,0.51,0.18,0.62
740,1.0,75102,13,18,15,0.19,0.86,0.41,131,3,0.12,0.64,0.61,0.63,24704.05,24307.4,49011.45,5,13,0.38,0.5,0.08,0.52
741,4.6,100000,40,3892,57,0.03,0.92,0.46,80,4,0.07,0.57,0.23,0.5,40853.87,39654.19,80508.05,17,4,0.24,0.55,0.53,0.66
742,4.7,90000,30,602,59,0.01,0.84,0.28,103,5,0.04,0.61,0.28,0.58,34806.11,34138.18,68944.29,18,4,0.05,0.56,0.28,0.39
743,4.1,100000,41,6497,61,0.0,0.97,0.27,126,6,0.05,0.65,0.11,0.65,29091.8,28179.41,57271.21,18,7,0.18,0.54,0.09,0.54
744,4.6,100000,29,272,61,0.01,1.0,0.27,116,6,0.06,0.63,0.17,0.66,30936.92,30159.98,61096.9,19,4,0.19,0.55,0.1,0.23
745,4.6,95000,35,480,61,0.05,0.96,0.3,109,6,0.07,0.62,0.22,0.67,32661.32,31804.63,64465.95,20,7,0.15,0.55,0.08,0.55
746,4.8,75102,29,8768,60,0.01,0.98,0.25,111,4,0.1,0.62,0.19,0.5,32204.43,31332.71,63537.14,20,4,0.19,0.57,0.13,0.26
747,4.5,160000,38,411,18,0.12,0.93,0.44,141,7,0.05,0.63,0.32,0.74,38783.98,40344.76,79128.74,20,5,0.15,0.59,0.44,0.59
748,4.6,119000,92,16804,57,0.0,0.93,0.43,88,5,0.07,0.59,0.31,0.59,39840.99,38874.92,78715.91,17,4,0.21,0.63,0.53,0.64
749,4.6,90000,24,5638,60,0.02,0.97,0.27,108,6,0.09,0.62,0.21,0.67,32880.21,31982.01,64862.22,20,4,0.17,0.56,0.11,0.26
750,4.3,80000,24,2017,61,0.01,0.94,0.4,141,8,0.08,0.62,0.16,0.72,28042.83,27078.63,55121.46,16,7,0.35,0.63,0.18,0.59
751,4.4,100000,36,6680,60,0.0,0.99,0.28,106,6,0.11,0.62,0.23,0.67,33465.73,32515.0,65980.73,20,4,0.16,0.55,0.13,0.27
752,4.6,100000,27,3271,61,0.03,0.96,0.35,136,8,0.05,0.62,0.15,0.71,28797.01,27754.31,56551.32,16,7,0.3,0.6,0.12,0.57
753,4.9,100000,41,36,57,0.05,0.88,0.41,85,4,0.05,0.58,0.33,0.49,38543.64,37484.74,76028.38,17,4,0.17,0.58,0.49,0.61
754,4.2,75102,34,7897,59,0.03,0.86,0.3,101,4,0.06,0.61,0.31,0.48,33544.45,32787.16,66331.61,19,4,0.05,0.56,0.28,0.41
755,4.5,85000,52,6921,57,0.05,0.9,0.47,78,4,0.06,0.56,0.19,0.5,42388.61,41378.85,83767.47,18,4,0.19,0.55,0.52,0.66
756,4.4,85000,19,4325,60,0.03,0.84,0.39,140,8,0.09,0.63,0.15,0.72,27724.34,26555.19,54279.53,15,4,0.38,0.63,0.2,0.34
758,4.4,90000,19,1277,61,0.02,0.95,0.39,141,8,0.06,0.62,0.18,0.71,28042.83,27078.63,55121.46,16,7,0.33,0.62,0.16,0.58
759,4.6,80000,40,8878,59,0.01,0.82,0.28,105,5,0.05,0.62,0.27,0.58,34981.12,34592.84,69573.96,18,4,0.06,0.55,0.26,0.38
760,4.5,90000,30,8353,61,0.03,0.88,0.41,141,7,0.05,0.62,0.2,0.68,25521.44,24814.54,50335.97,18,8,0.31,0.64,0.16,0.6
761,4.2,80000,51,9152,61,0.01,1.0,0.27,113,6,0.07,0.63,0.18,0.66,31664.27,30797.42,62461.69,19,4,0.19,0.55,0.1,0.23
762,4.5,95000,41,5154,61,0.02,0.99,0.38,138,8,0.07,0.62,0.17,0.71,28072.08,26903.24,54975.32,15,4,0.36,0.61,0.17,0.31
763,4.4,85000,38,1946,59,0.01,0.72,0.24,111,4,0.07,0.62,0.19,0.49,32168.26,31225.06,63393.31,20,4,0.16,0.58,0.16,0.28
764,4.5,80000,30,4359,60,0.0,0.99,0.28,106,6,0.11,0.62,0.23,0.67,33465.73,32515.0,65980.73,20,4,0.16,0.55,0.13,0.27
765,4.7,90000,28,3846,60,0.01,0.99,0.25,113,4,0.07,0.63,0.18,0.49,31646.97,30697.0,62343.98,20,4,0.18,0.58,0.15,0.27
766,4.1,90000,26,5471,60,0.01,0.97,0.25,115,4,0.07,0.63,0.16,0.49,31116.93,30182.76,61299.69,19,4,0.19,0.57,0.13,0.25
767,4.5,70000,55,8343,61,0.0,0.92,0.4,140,7,0.07,0.62,0.18,0.68,25525.1,24386.99,49912.09,17,7,0.32,0.63,0.16,0.57
768,4.3,175000,80,7201,21,0.0,0.99,0.56,130,5,0.01,0.63,0.43,0.63,40108.23,41630.99,81739.22,16,2,0.16,0.59,0.39,0.63
769,4.5,90000,30,6769,59,0.01,0.81,0.27,104,5,0.06,0.61,0.26,0.58,35256.73,34762.35,70019.07,19,4,0.07,0.58,0.25,0.37
770,4.8,120000,47,2041,60,0.01,0.97,0.25,114,5,0.08,0.62,0.16,0.59,31374.22,30434.14,61808.36,19,4,0.2,0.56,0.12,0.24
771,4.7,120000,30,3677,61,0.01,1.0,0.27,117,6,0.06,0.63,0.15,0.66,30694.66,29913.44,60608.1,19,4,0.2,0.56,0.1,0.22
772,4.5,70000,22,5557,60,0.02,0.99,0.25,115,5,0.06,0.63,0.17,0.59,32835.46,31966.4,64801.85,19,4,0.18,0.57,0.15,0.26
773,4.4,77000,24,3347,60,0.02,0.95,0.25,119,6,0.07,0.63,0.14,0.66,30035.03,29098.61,59133.65,17,4,0.2,0.51,0.11,0.22
774,4.2,90000,26,274,65,0.26,0.99,0.6,127,6,0.09,0.66,0.48,0.64,43625.84,43633.34,87259.18,27,8,0.13,0.63,0.14,0.44
775,3.7,80000,33,2914,60,0.0,0.98,0.25,112,4,0.09,0.62,0.18,0.49,31941.96,31065.77,63007.73,19,4,0.19,0.55,0.13,0.25
776,4.4,90000,47,11089,60,0.01,0.98,0.26,111,5,0.09,0.62,0.2,0.6,32204.43,31332.71,63537.14,20,4,0.19,0.57,0.12,0.26
777,4.7,90000,21,4525,61,0.03,0.99,0.36,138,8,0.03,0.63,0.16,0.71,28510.21,27430.62,55940.84,15,4,0.33,0.6,0.14,0.28
778,4.6,75102,40,2074,10,0.0,0.97,0.46,77,3,0.08,0.63,0.23,0.44,30415.45,31939.82,62355.26,11,2,0.31,0.67,0.35,0.65
779,4.4,80000,98,2845,61,0.02,0.97,0.37,139,8,0.07,0.62,0.19,0.71,28295.27,27214.72,55509.98,16,7,0.33,0.62,0.15,0.59
780,4.9,90000,30,12,60,0.01,0.96,0.25,116,5,0.08,0.63,0.15,0.59,30856.97,29926.99,60783.96,19,4,0.21,0.57,0.13,0.24
781,4.1,70000,37,7471,59,0.01,0.84,0.28,103,5,0.04,0.61,0.29,0.58,34806.11,34138.18,68944.29,18,4,0.05,0.55,0.27,0.39
782,3.8,75000,30,1995,60,0.02,0.94,0.25,122,7,0.07,0.64,0.12,0.7,31395.15,30199.82,61594.97,17,4,0.21,0.52,0.12,0.22
783,4.4,90000,25,3244,61,0.01,0.91,0.37,136,8,0.02,0.61,0.18,0.71,28794.81,27856.76,56651.57,17,7,0.28,0.61,0.12,0.54
784,4.9,105000,40,1621,59,0.02,0.99,0.38,91,4,0.06,0.6,0.34,0.48,36713.67,35847.66,72561.33,17,4,0.11,0.55,0.42,0.54
785,3.8,75000,19,1211,61,0.01,0.95,0.41,142,8,0.09,0.62,0.15,0.72,27466.46,26426.06,53892.52,16,7,0.36,0.63,0.19,0.6
786,3.7,70000,21,585,57,0.02,0.99,0.5,80,4,0.06,0.57,0.24,0.51,40853.87,39654.19,80508.05,17,4,0.29,0.61,0.6,0.72
787,4.9,447000,94,672,19,0.0,0.92,0.46,145,7,0.06,0.64,0.43,0.72,37302.22,38628.94,75931.16,20,5,0.23,0.56,0.54,0.65
788,4.6,65000,14,4108,60,0.04,0.83,0.42,143,8,0.13,0.63,0.11,0.72,26632.39,25845.52,52477.91,15,4,0.41,0.65,0.24,0.37
789,4.0,80000,65,2859,10,0.02,0.99,0.47,77,3,0.07,0.63,0.25,0.44,30415.45,31939.82,62355.26,11,2,0.32,0.68,0.35,0.64
790,4.0,75102,15,186,57,0.02,0.98,0.49,81,4,0.05,0.57,0.25,0.51,40427.92,39197.67,79625.58,17,4,0.27,0.62,0.59,0.71
791,4.4,75102,35,4002,59,0.06,0.92,0.33,98,4,0.03,0.61,0.36,0.48,34519.1,33739.65,68258.75,18,4,0.04,0.56,0.34,0.47
792,4.8,75102,27,1780,61,0.02,0.94,0.37,137,8,0.03,0.62,0.18,0.71,28615.09,27672.57,56287.65,16,7,0.3,0.6,0.13,0.56
793,4.7,199000,100,100,10,0.0,0.92,0.5,73,3,0.08,0.65,0.27,0.51,30812.47,32288.74,63101.21,10,1,0.38,0.66,0.45,0.45
794,4.4,80000,23,1319,59,0.02,0.74,0.26,106,4,0.13,0.62,0.24,0.5,33499.25,32580.23,66079.48,19,4,0.16,0.53,0.16,0.3
795,4.7,84900,12,369,61,0.01,0.91,0.37,136,8,0.02,0.61,0.18,0.71,28794.81,27856.76,56651.57,17,7,0.28,0.61,0.11,0.54
796,3.4,60000,34,1039,4,0.18,0.97,0.69,121,3,0.06,0.57,0.2,0.59,21144.91,21641.03,42785.94,10,1,0.42,0.69,0.46,0.46
797,4.1,80000,20,126,60,0.0,0.98,0.25,112,4,0.09,0.62,0.18,0.49,31941.96,31065.77,63007.73,19,4,0.19,0.55,0.13,0.25
798,3.8,80000,27,1256,59,0.02,0.74,0.25,109,4,0.08,0.62,0.21,0.49,31978.15,31484.38,63462.53,19,4,0.15,0.56,0.17,0.3
799,3.3,70000,12,45,62,0.05,0.98,0.38,135,8,0.06,0.62,0.17,0.73,30157.79,30343.98,60501.77,22,8,0.17,0.64,0.08,0.52
800,4.5,75102,16,244,19,0.16,0.98,0.58,141,3,0.06,0.7,0.16,0.17,28956.14,29809.95,58766.09,20,5,0.09,0.56,0.09,0.26
801,5.0,75102,16,3,59,0.02,0.76,0.26,106,4,0.12,0.62,0.24,0.5,33511.24,32610.79,66122.03,19,4,0.15,0.54,0.18,0.31
802,4.5,75102,50,1234,22,0.0,0.95,0.56,134,7,0.07,0.63,0.5,0.73,38654.93,40498.58,79153.51,19,5,0.22,0.63,0.45,0.81
803,3.7,60000,19,168,15,0.38,0.98,0.65,117,3,0.09,0.66,0.39,0.4,22713.1,23750.36,46463.47,11,2,0.22,0.67,0.2,0.43
804,5.0,75102,8,3,17,0.19,0.94,0.49,126,4,0.14,0.62,0.27,0.57,30313.71,31760.06,62073.76,19,5,0.2,0.65,0.37,0.56
805,4.4,75102,10,14,12,0.73,0.99,0.87,88,4,0.1,0.68,0.25,0.69,28659.37,29300.24,57959.61,12,1,0.26,0.7,0.91,0.91
807,4.7,90000,53,4232,6,0.51,0.97,0.79,96,2,0.05,0.63,0.52,0.6,17132.52,17125.84,34258.37,3,3,0.61,0.72,0.11,0.49
808,4.7,80000,48,6209,12,0.0,0.65,0.37,101,2,0.05,0.59,0.39,0.42,20494.89,20202.31,40697.2,4,4,0.63,0.78,0.37,0.42
809,4.4,80000,58,8251,17,0.0,0.73,0.28,83,3,0.05,0.62,0.22,0.38,21512.72,22683.38,44196.1,8,4,0.13,0.45,0.13,0.18
810,4.8,60000,29,5170,17,0.01,0.83,0.29,80,3,0.04,0.61,0.13,0.35,21849.65,21343.23,43192.89,8,4,0.1,0.42,0.1,0.18
811,4.8,85000,18,357,17,0.07,0.92,0.68,84,4,0.04,0.63,0.45,0.81,26696.44,26783.95,53480.39,7,5,0.82,0.92,0.57,0.73
812,4.7,65000,30,5540,17,0.04,0.75,0.29,83,4,0.09,0.63,0.21,0.54,26097.74,26755.29,52853.03,8,4,0.15,0.42,0.15,0.21
813,4.7,75000,28,6243,4,0.08,0.26,0.14,128,2,0.12,0.66,0.31,0.53,13397.74,12898.25,26295.99,4,3,0.75,0.79,0.28,0.53
814,4.3,60000,32,3740,12,0.0,0.45,0.23,101,2,0.02,0.59,0.19,0.21,20769.16,20449.8,41218.95,4,5,0.41,0.59,0.2,0.37
815,4.4,55000,43,1753,13,0.12,0.7,0.38,114,6,0.05,0.7,0.22,0.69,27395.03,26593.56,53988.59,5,8,0.17,0.55,0.18,0.57
816,4.8,70000,38,9071,12,0.08,0.35,0.23,102,2,0.06,0.62,0.1,0.14,20362.57,20014.7,40377.27,5,5,0.37,0.69,0.06,0.27
817,4.8,65000,46,542,17,0.02,0.81,0.3,81,3,0.06,0.62,0.16,0.37,21965.81,22902.46,44868.27,8,4,0.13,0.4,0.13,0.21
818,4.6,50000,30,7021,17,0.03,0.93,0.4,72,4,0.08,0.59,0.18,0.57,23730.95,23251.77,46982.72,8,4,0.21,0.33,0.24,0.32
819,4.7,60000,52,7766,17,0.01,0.81,0.29,80,3,0.05,0.61,0.14,0.35,21849.65,21343.23,43192.89,8,4,0.11,0.42,0.11,0.19
820,4.8,70000,45,5817,17,0.02,0.71,0.28,86,3,0.05,0.63,0.22,0.35,21049.0,20908.3,41957.3,7,4,0.1,0.45,0.09,0.12
821,4.5,58000,30,3985,13,0.03,0.82,0.29,109,3,0.05,0.67,0.1,0.35,22639.52,21868.13,44507.65,5,5,0.16,0.56,0.09,0.24
822,4.6,60000,22,2800,12,0.08,0.42,0.23,102,2,0.1,0.61,0.16,0.19,20105.57,19849.93,39955.5,4,5,0.42,0.64,0.14,0.34
823,4.6,45000,19,2828,21,0.38,0.89,0.58,93,7,0.05,0.67,0.24,0.71,34353.2,33747.11,68100.31,10,8,0.32,0.72,0.31,0.62
824,4.4,70000,22,3467,4,0.08,0.3,0.19,125,2,0.1,0.65,0.24,0.53,13826.45,13298.39,27124.84,4,3,0.67,0.78,0.35,0.5
825,4.8,75102,18,83,12,0.02,0.43,0.22,100,2,0.02,0.59,0.18,0.2,20971.88,20621.9,41593.79,4,5,0.39,0.58,0.19,0.35
826,4.4,70000,30,277,17,0.02,0.73,0.29,86,3,0.06,0.63,0.21,0.34,20665.82,20682.04,41347.86,7,4,0.09,0.46,0.07,0.1
827,4.8,75102,49,2220,18,0.0,0.94,0.43,94,4,0.12,0.65,0.3,0.53,21169.26,21268.95,42438.21,8,5,0.39,0.76,0.17,0.44
828,4.7,70000,35,297,17,0.03,0.9,0.37,76,3,0.05,0.61,0.18,0.42,22070.85,21521.7,43592.55,8,4,0.22,0.34,0.22,0.3
829,4.7,60000,13,1995,13,0.01,0.87,0.29,104,3,0.03,0.63,0.09,0.34,24190.27,22762.49,46952.76,4,5,0.1,0.39,0.14,0.27
830,4.3,60000,23,3076,4,0.04,0.2,0.13,125,2,0.02,0.64,0.43,0.59,13819.33,12948.93,26768.26,5,3,0.64,0.82,0.16,0.53
831,4.6,70000,20,2426,4,0.04,0.22,0.14,128,2,0.06,0.66,0.42,0.56,13441.73,12869.78,26311.51,4,3,0.65,0.79,0.18,0.55
832,4.1,80000,30,2180,18,0.03,0.97,0.42,94,4,0.12,0.65,0.32,0.53,21100.68,21333.14,42433.82,8,5,0.36,0.74,0.14,0.42
833,4.6,55000,16,1971,13,0.03,0.82,0.29,104,3,0.08,0.65,0.1,0.35,23449.88,22397.46,45847.34,4,5,0.13,0.43,0.11,0.25
834,4.8,55000,22,1607,17,0.01,0.84,0.3,80,3,0.04,0.61,0.12,0.34,21849.65,21343.23,43192.89,8,4,0.1,0.42,0.1,0.18
835,4.1,60000,22,1374,4,0.18,0.3,0.24,121,2,0.1,0.62,0.54,0.72,13785.37,13264.57,27049.93,5,3,0.56,0.76,0.14,0.5
836,4.8,50000,12,1425,13,0.02,0.89,0.28,105,3,0.02,0.63,0.07,0.34,23417.1,22250.01,45667.11,4,5,0.12,0.39,0.13,0.27
837,4.2,65000,15,1858,13,0.01,0.87,0.28,106,3,0.04,0.64,0.08,0.34,23766.0,22374.71,46140.71,4,5,0.12,0.4,0.13,0.27
839,4.4,60000,18,1559,17,0.07,0.85,0.63,88,4,0.04,0.65,0.44,0.77,26302.84,26208.28,52511.12,8,5,0.76,0.88,0.63,0.7
840,1.0,75102,10,163,18,0.33,0.93,0.68,109,4,0.07,0.68,0.13,0.6,19730.29,19066.83,38797.12,2,6,0.71,0.84,0.48,0.69
841,4.6,95000,52,7315,121,0.05,0.99,0.55,109,12,0.08,0.68,0.15,0.6,92546.23,90963.55,183509.78,10,8,0.18,0.65,0.3,0.83
842,4.6,85000,50,6178,102,0.02,0.99,0.45,101,10,0.11,0.64,0.15,0.56,86999.6,85570.19,172569.78,11,3,0.12,0.58,0.3,0.6
843,4.8,100000,28,3476,99,0.02,1.0,0.43,101,10,0.13,0.64,0.13,0.57,86048.72,84629.24,170677.96,11,3,0.12,0.58,0.3,0.6
844,4.8,110000,34,1563,93,0.01,1.0,0.42,102,10,0.19,0.64,0.1,0.61,84480.17,83833.7,168313.88,11,3,0.15,0.56,0.35,0.61
845,4.7,85000,42,1414,91,0.0,0.99,0.4,100,10,0.22,0.64,0.07,0.6,85572.19,84623.2,170195.39,12,3,0.18,0.61,0.32,0.6
846,4.4,85000,74,8995,133,0.05,0.99,0.57,106,11,0.07,0.65,0.34,0.61,97024.98,95018.49,192043.47,13,10,0.2,0.65,0.48,0.81
847,4.6,90000,21,1139,102,0.01,0.99,0.45,103,10,0.1,0.65,0.15,0.56,85127.77,83721.91,168849.68,12,3,0.12,0.63,0.28,0.6
848,4.7,90000,58,2014,120,0.02,0.97,0.54,104,13,0.09,0.66,0.21,0.63,102051.27,100562.59,202613.86,11,9,0.22,0.67,0.35,0.84
849,4.7,90000,45,4570,98,0.0,1.0,0.45,103,11,0.12,0.66,0.08,0.58,89316.1,88523.2,177839.3,12,4,0.05,0.65,0.19,0.65
850,4.5,100000,25,8471,98,0.03,1.0,0.43,99,10,0.13,0.64,0.11,0.56,85766.73,84642.05,170408.78,13,4,0.12,0.66,0.26,0.69
851,4.5,90000,43,4681,122,0.02,1.0,0.55,105,13,0.07,0.66,0.2,0.63,101098.86,99629.37,200728.23,12,9,0.23,0.71,0.35,0.84
852,4.5,95000,106,20024,134,0.0,0.96,0.57,108,13,0.07,0.66,0.34,0.66,100900.5,99423.1,200323.6,13,10,0.25,0.67,0.49,0.8
853,4.7,80000,60,17869,89,0.03,1.0,0.43,101,8,0.13,0.64,0.14,0.56,80887.86,80255.99,161143.85,16,3,0.2,0.69,0.41,0.63
854,4.4,75102,23,1568,79,0.03,0.99,0.6,94,5,0.05,0.68,0.43,0.62,56931.99,55804.32,112736.31,16,2,0.46,0.73,0.59,0.64
855,4.6,80000,41,3117,46,0.05,0.97,0.64,92,8,0.1,0.62,0.22,0.65,53774.22,54713.4,108487.62,7,24,0.26,0.57,0.37,0.67
856,4.6,100000,34,9459,102,0.01,0.99,0.45,103,10,0.08,0.65,0.15,0.54,84276.03,82967.7,167243.73,13,4,0.09,0.67,0.25,0.68
857,4.8,110000,61,56,18,0.09,0.97,0.49,88,7,0.09,0.67,0.25,0.54,34505.38,33282.04,67787.41,4,9,0.14,0.42,0.3,0.65
858,4.8,110000,62,11302,98,0.02,0.99,0.43,103,10,0.12,0.65,0.13,0.56,85127.77,83721.91,168849.68,12,3,0.13,0.62,0.28,0.6
859,4.7,100000,28,736,132,0.04,0.99,0.6,114,11,0.09,0.65,0.31,0.64,105227.93,103666.62,208894.55,16,10,0.26,0.66,0.62,0.74
860,4.8,120000,44,4426,90,0.04,0.98,0.42,102,8,0.16,0.64,0.12,0.54,81170.39,80534.68,161705.07,13,3,0.18,0.62,0.39,0.62
861,4.6,120000,42,5439,95,0.0,1.0,0.42,100,10,0.18,0.64,0.09,0.59,85951.06,85010.92,170961.97,12,3,0.15,0.61,0.31,0.6
862,4.6,80000,50,9215,97,0.0,1.0,0.43,98,10,0.19,0.63,0.1,0.59,86613.73,85397.16,172010.89,11,3,0.14,0.57,0.33,0.61
863,4.6,90000,60,5391,124,0.0,1.0,0.57,110,13,0.09,0.69,0.14,0.62,96713.43,94803.36,191516.79,11,8,0.2,0.7,0.29,0.83
864,4.4,85000,45,1512,85,0.02,0.99,0.79,88,9,0.16,0.61,0.3,0.72,68646.56,68723.48,137370.05,10,13,0.2,0.76,0.3,0.78
865,4.6,80000,34,4117,98,0.02,0.99,0.43,99,10,0.16,0.63,0.1,0.58,85666.66,84477.75,170144.41,12,3,0.14,0.61,0.3,0.6
866,4.4,120000,29,2462,22,0.02,0.99,0.5,81,9,0.06,0.66,0.33,0.61,42036.31,40659.37,82695.68,6,12,0.32,0.71,0.23,0.69
867,4.7,80000,40,5801,78,0.02,0.96,0.59,97,5,0.1,0.67,0.37,0.6,52798.36,52291.37,105089.73,17,2,0.55,0.71,0.59,0.61
868,4.6,80000,26,1800,86,0.11,0.99,0.41,107,10,0.17,0.68,0.07,0.58,77044.19,75674.77,152718.97,12,4,0.15,0.65,0.2,0.66
869,4.6,80000,46,4974,87,0.02,1.0,0.42,102,8,0.15,0.65,0.12,0.56,80186.74,79542.94,159729.69,15,3,0.23,0.68,0.39,0.62
870,4.2,70000,38,5886,92,0.01,0.99,0.41,99,10,0.21,0.64,0.06,0.59,86478.22,85494.75,171972.97,12,3,0.18,0.61,0.31,0.6
871,4.8,80000,19,1230,22,0.12,0.89,0.47,74,10,0.07,0.64,0.12,0.6,52678.59,50985.56,103664.14,7,21,0.55,0.79,0.01,0.7
872,4.4,111120,81,5361,131,0.0,1.0,0.57,105,12,0.09,0.65,0.27,0.63,95557.66,94016.57,189574.22,13,9,0.2,0.67,0.42,0.82
873,4.1,80000,48,9240,104,0.01,0.99,0.46,103,10,0.07,0.65,0.18,0.55,86807.99,85099.29,171907.28,11,3,0.12,0.6,0.28,0.6
874,4.7,75102,43,6451,79,0.02,0.99,0.6,96,5,0.08,0.67,0.39,0.61,52798.36,52291.37,105089.73,17,2,0.54,0.71,0.61,0.62
875,4.5,70000,29,4384,93,0.01,1.0,0.41,101,10,0.21,0.64,0.08,0.6,85006.81,83991.82,168998.63,12,3,0.16,0.61,0.33,0.6
876,4.9,90000,35,23,22,0.02,0.98,0.5,81,10,0.06,0.66,0.31,0.65,47486.45,46275.1,93761.55,6,14,0.34,0.71,0.21,0.73
877,4.4,113000,32,578,86,0.04,0.98,0.43,102,8,0.09,0.65,0.18,0.58,81615.45,79684.03,161299.48,16,2,0.2,0.67,0.45,0.46
878,4.2,110000,28,1241,129,0.06,0.99,0.58,111,11,0.06,0.64,0.34,0.64,103656.39,102149.43,205805.82,15,10,0.2,0.64,0.58,0.77
879,4.5,90000,12,5196,102,0.01,0.99,0.45,103,10,0.08,0.65,0.16,0.55,84276.03,82967.7,167243.73,13,4,0.1,0.67,0.26,0.69
880,4.6,65000,32,1915,99,0.03,0.99,0.45,99,11,0.1,0.64,0.11,0.58,91436.77,90441.91,181878.69,12,4,0.05,0.65,0.21,0.66
881,4.2,90000,12,1879,104,0.01,1.0,0.46,102,10,0.08,0.64,0.17,0.55,86057.85,84642.32,170700.16,12,4,0.12,0.63,0.28,0.7
883,3.9,75102,18,1954,40,0.04,1.0,0.65,90,8,0.19,0.64,0.28,0.71,57404.7,58054.31,115459.01,10,20,0.29,0.7,0.4,0.66
884,4.5,60000,29,375,102,0.01,1.0,0.45,102,10,0.1,0.64,0.14,0.55,85127.77,83721.91,168849.68,13,4,0.11,0.66,0.27,0.69
885,4.3,70000,25,1431,92,0.01,0.99,0.41,99,10,0.21,0.64,0.07,0.6,86478.22,85494.75,171972.97,12,3,0.17,0.61,0.32,0.6
886,4.5,60000,22,1229,25,0.33,1.0,0.71,79,4,0.08,0.65,0.55,0.69,59792.81,59693.85,119486.66,15,15,0.35,0.71,0.65,0.84
887,4.4,100000,50,1109,36,0.0,1.0,0.65,85,10,0.16,0.69,0.24,0.62,55031.85,53673.01,108704.87,8,24,0.46,0.74,0.1,0.52
888,4.4,75102,20,384,6,0.2,0.99,0.63,79,2,0.06,0.68,0.23,0.48,35676.34,35892.23,71568.57,16,1,0.05,0.5,0.85,0.85
890,3.9,70000,29,529,45,0.1,1.0,0.69,77,11,0.06,0.66,0.07,0.64,66472.5,65188.36,131660.86,6,23,0.18,0.57,0.2,0.45
891,4.9,90000,17,719,78,0.0,0.96,0.64,97,7,0.09,0.62,0.19,0.66,75400.56,73681.34,149081.91,23,4,0.09,0.6,0.09,0.7
892,4.5,75102,28,853,79,0.02,0.99,0.59,97,5,0.07,0.68,0.4,0.6,52798.36,52291.37,105089.73,17,2,0.54,0.72,0.61,0.61
893,4.4,50000,20,1343,49,0.13,0.95,0.61,95,9,0.1,0.63,0.26,0.63,54201.23,55071.86,109273.08,6,23,0.32,0.47,0.27,0.56
894,4.4,75102,17,40,44,0.04,0.99,0.66,95,8,0.15,0.65,0.25,0.69,54210.88,55087.19,109298.07,10,22,0.26,0.7,0.39,0.68
895,4.0,70000,29,458,24,0.12,0.96,0.51,78,10,0.08,0.67,0.07,0.6,52339.7,51012.83,103352.54,7,23,0.62,0.79,0.13,0.65
896,4.7,140000,39,5048,141,0.11,1.0,0.65,111,11,0.03,0.63,0.21,0.65,107115.56,104843.99,211959.55,17,11,0.39,0.66,0.54,0.69
897,4.7,65000,100,1396,23,0.0,0.99,0.5,75,10,0.1,0.64,0.26,0.63,49662.99,48289.58,97952.58,6,14,0.4,0.72,0.14,0.68
898,4.5,65000,14,36,40,0.01,0.99,0.68,77,10,0.03,0.68,0.2,0.62,57992.65,57398.92,115391.56,6,23,0.35,0.67,0.08,0.51
900,4.4,79000,15,5,79,0.03,0.99,0.63,94,4,0.07,0.69,0.47,0.56,46174.36,45460.48,91634.84,16,2,0.43,0.74,0.61,0.67
901,4.7,125000,8,137,3,0.75,0.95,0.86,73,2,0.05,0.63,0.2,0.48,42533.13,43969.88,86503.01,23,2,0.16,0.73,0.46,0.67
902,3.3,59900,10,61,98,0.02,1.0,0.44,100,11,0.12,0.64,0.11,0.59,90736.08,90009.23,180745.31,12,4,0.06,0.64,0.21,0.66
903,4.9,75102,24,14,118,0.02,1.0,0.56,106,13,0.04,0.67,0.08,0.62,95742.2,94464.08,190206.28,10,5,0.13,0.66,0.23,0.72
904,4.0,75102,37,29,80,0.03,0.9,0.46,104,7,0.14,0.68,0.24,0.6,63888.4,63005.45,126893.85,15,3,0.37,0.67,0.47,0.67
905,4.2,75102,101,671,22,0.0,0.95,0.51,84,9,0.11,0.67,0.38,0.62,41285.32,39888.08,81173.4,5,11,0.28,0.61,0.26,0.66
