,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
459,4.0,60000,36,84,37,0.06,0.9,0.41,44,4,0.1,0.59,0.22,0.5,25395.73,28749.8,54145.52,15,3,0.33,0.83,0.57,0.8
460,4.7,111000,33,2363,25,0.04,0.98,0.26,25,4,0.09,0.55,0.32,0.61,67559.79,69188.79,136748.58,5,1,0.72,0.83,0.48,0.48
461,4.8,75102,71,1970,37,0.0,1.0,0.17,54,6,0.09,0.67,0.35,0.61,80968.71,83651.6,164620.31,12,7,0.48,0.65,0.46,0.68
462,4.5,85000,26,4219,36,0.01,0.49,0.17,56,6,0.12,0.68,0.39,0.61,84926.58,86045.35,170971.93,12,7,0.43,0.62,0.42,0.65
463,4.4,120000,52,1503,25,0.01,0.92,0.18,30,4,0.14,0.61,0.41,0.61,57142.02,58264.31,115406.32,5,1,0.75,0.85,0.4,0.4
464,4.4,95000,29,6462,25,0.01,0.87,0.15,34,4,0.09,0.64,0.34,0.63,51214.21,52119.82,103334.02,5,1,0.71,0.88,0.33,0.33
465,4.5,90000,40,389,37,0.07,0.94,0.27,55,6,0.07,0.67,0.31,0.61,87731.51,89357.56,177089.07,20,7,0.33,0.72,0.31,0.57
466,4.5,75102,42,1369,5,0.08,0.79,0.46,48,5,0.09,0.66,0.32,0.76,74438.38,73872.3,148310.68,18,4,0.42,0.71,0.68,0.82
467,4.3,90000,51,146,37,0.0,0.86,0.37,45,4,0.13,0.6,0.23,0.48,28058.22,29091.57,57149.79,15,4,0.31,0.83,0.62,0.84
468,4.6,85000,25,2536,25,0.01,0.79,0.2,35,4,0.03,0.62,0.2,0.65,48928.01,49520.16,98448.17,2,1,0.74,0.8,0.27,0.27
469,4.5,90000,30,4166,24,0.04,0.43,0.24,23,3,0.05,0.52,0.31,0.47,73249.82,74753.42,148003.24,5,1,0.71,0.82,0.5,0.5
470,4.6,90000,43,8267,25,0.02,0.8,0.19,36,4,0.02,0.64,0.22,0.65,48928.01,49520.16,98448.17,2,1,0.73,0.79,0.27,0.27
472,4.7,168000,30,1294,25,0.0,0.88,0.23,31,4,0.14,0.61,0.41,0.61,55480.41,56623.55,112103.96,5,1,0.79,0.84,0.38,0.38
473,4.4,90000,31,2411,25,0.01,0.77,0.23,34,4,0.02,0.6,0.17,0.65,47471.01,49492.04,96963.05,2,1,0.75,0.81,0.26,0.26
474,4.0,120000,32,322,37,0.0,0.91,0.17,50,6,0.05,0.66,0.26,0.62,84151.11,87154.92,171306.03,12,6,0.53,0.69,0.54,0.7
475,4.7,110000,36,9782,25,0.01,0.77,0.24,34,4,0.02,0.6,0.15,0.66,47471.01,49492.04,96963.05,2,1,0.75,0.81,0.26,0.26
